State,Year,Area_1000ha,Prod_1000tons,Yield_t_ha,Kharif_Rain_mm
Andhra Pradesh,2000,2694.75,8040.68,2.983831524,832.93
Andhra Pradesh,2001,2515.37,7823.69,3.110353546,509.79
Andhra Pradesh,2002,1867.0,5315.0,2.846813069,380.95
Andhra Pradesh,2003,1957.32,6054.11,3.09306092,501.30999999999995
Andhra Pradesh,2004,2227.69,7392.67,3.318536242,490.1
Andhra Pradesh,2005,2520.72,7288.73,2.891527024,700.02
Andhra Pradesh,2006,2488.9,7616.4,3.060147053,565.11
Andhra Pradesh,2007,2577.61,8880.43,3.445218633,847.5400000000001
Andhra Pradesh,2008,2695.73,8880.6,3.294321019,750.16
Andhra Pradesh,2009,2325.74,7569.08,3.254482444,531.39
Andhra Pradesh,2010,2772.38,7933.08,2.861469207,882.37
Andhra Pradesh,2011,2346.31,7744.18,3.300578355,518.1800000000001
Andhra Pradesh,2012,2209.24,6862.75,3.106385001,740.3199999999999
Andhra Pradesh,2013,2583.44,7993.46,3.094114824,636.46
Andhra Pradesh,2014,2393.98,8455.59,3.532021988,475.64
Andhra Pradesh,2015,2160.79,7518.29,3.47941725,632.84
Andhra Pradesh,2016,2105.04,8002.34,3.801514461,724.14
Andhra Pradesh,2017,2218.18,8461.34,3.814541651,822.3000000000001
Andhra Pradesh,2018,2208.3,8234.54,3.728904587,716.64
Andhra Pradesh,2019,2356.0,9140.1,3.879499151,738.33
Assam,2000,2646.17,3998.48,1.511044264,853.4399999999999
Assam,2001,2536.43,3854.24,1.519553073,585.49
Assam,2002,2540.73,3737.81,1.471155928,768.64
Assam,2003,2529.86,3880.95,1.534057221,815.17
Assam,2004,2383.74,3462.17,1.452410917,831.06
Assam,2005,2184.36,3254.6,1.489955868,766.61
Assam,2006,1968.07,2671.6,1.357472041,594.69
Assam,2007,2110.16,3067.81,1.453828146,924.92
Assam,2008,2243.68,3730.64,1.662732653,857.2
Assam,2009,2273.71,4093.85,1.800515457,811.5600000000001
Assam,2010,2258.76,4601.4,2.037135419,1094.54
Assam,2011,2270.96,4282.79,1.885894071,982.76
Assam,2012,2205.19,4627.1,2.098277246,1030.21
Assam,2013,2237.82,4733.02,2.115013719,892.79
Assam,2014,2225.99,4700.0,2.111420087,958.01
Assam,2015,2217.39,4589.37,2.0697171,1092.0800000000002
Assam,2016,2210.65,4634.1,2.096261281,803.87
Assam,2017,2185.56,4751.04,2.173831878,1036.26
Assam,2018,2171.87,4848.57,2.232440247,914.35
Assam,2019,2151.03,4672.9,2.172401129,922.21
Bihar,2000,3656.0,5443.0,1.488785558,918.32
Bihar,2001,3552.0,5203.0,1.464808559,895.3699999999999
Bihar,2002,3585.0,5085.0,1.418410042,650.74
Bihar,2003,3578.01,5447.84,1.522589372,835.9699999999999
Bihar,2004,3140.11,2472.16,0.7872845219,751.5999999999999
Bihar,2005,3250.26,3708.28,1.140917957,679.39
Bihar,2006,3364.04,5027.98,1.49462551,970.67
Bihar,2007,3543.98,4473.47,1.262272925,1178.61
Bihar,2008,3295.75,5340.41,1.62039293,1423.83
Bihar,2009,3213.44,3625.82,1.128329765,653.67
Bihar,2010,2845.4,3112.65,1.093923526,628.7800000000001
Bihar,2011,3350.95,8237.97,2.458398365,929.35
Bihar,2012,3298.89,8322.02,2.522672778,895.8499999999999
Bihar,2013,3150.8,6649.61,2.110451314,600.98
Bihar,2014,3263.42,8241.64,2.525461019,905.91
Bihar,2015,3232.34,6802.25,2.104435177,814.5999999999999
Bihar,2016,3339.79,8238.78,2.466855701,797.05
Bihar,2017,3307.0,8093.17,2.447284548,765.6999999999999
Bihar,2018,3159.74,6155.55,1.948119149,542.58
Bihar,2019,3097.41,6952.53,2.244626963,837.18
Chhattisgarh,2000,3174.75,2014.75,0.634616899,795.5
Chhattisgarh,2001,3200.36,4267.25,1.333365621,1051.9
Chhattisgarh,2002,3173.14,2273.51,0.7164858783,706.65
Chhattisgarh,2003,3211.83,4624.66,1.439883182,1195.67
Chhattisgarh,2004,3224.26,3833.56,1.188973594,894.05
Chhattisgarh,2005,3224.26,3833.56,1.188973594,1270.4399999999998
Chhattisgarh,2006,3143.26,4552.33,1.448282993,947.91
Chhattisgarh,2007,3200.55,4676.2,1.46106138,1338.4599999999998
Chhattisgarh,2008,3206.29,3900.32,1.216458898,972.96
Chhattisgarh,2009,3115.0,3565.66,1.144674157,932.86
Chhattisgarh,2010,3124.71,5150.54,1.648325765,1010.09
Chhattisgarh,2011,2053.86,3581.23,1.743658282,1356.37
Chhattisgarh,2012,2092.53,4326.87,2.067769638,1414.65
Chhattisgarh,2013,2084.32,3873.43,1.858366278,1393.18
Chhattisgarh,2014,2085.13,4345.45,2.084018742,1025.03
Chhattisgarh,2015,2004.98,2715.67,1.354462389,1047.79
Chhattisgarh,2016,2073.81,4945.4,2.384692908,1109.6
Chhattisgarh,2017,1998.72,3142.3,1.57215618,1079.72
Chhattisgarh,2018,2093.71,3653.64,1.745055428,967.65
Chhattisgarh,2019,1917.02,4465.52,2.329407101,1420.43
Gujarat,2000,689.3,617.3,0.8955462063,558.58
Gujarat,2001,698.0,1048.0,1.501432665,541.44
Gujarat,2002,628.7,838.5,1.33370447,538.97
Gujarat,2003,651.4,1193.2,1.831747006,1071.84
Gujarat,2004,679.4,1196.5,1.761112747,1023.8
Gujarat,2005,672.9,1283.6,1.907564274,1302.38
Gujarat,2006,689.3,1141.2,1.65559263,1219.21
Gujarat,2007,758.6,1474.2,1.943316636,1235.27
Gujarat,2008,720.9,1263.3,1.752392842,813.1700000000001
Gujarat,2009,649.4,1242.5,1.913304589,726.89
Gujarat,2010,770.1,1586.0,2.059472796,1258.03
Gujarat,2011,785.6,1682.1,2.141165988,887.4300000000001
Gujarat,2012,654.4,1375.0,2.101161369,690.7
Gujarat,2013,763.35,1628.67,2.133582236,1265.9
Gujarat,2014,684.72,1555.5,2.271731511,898.9100000000001
Gujarat,2015,674.82,1504.37,2.229290774,736.81
Gujarat,2016,723.44,1738.69,2.403364481,585.3
Gujarat,2017,730.66,1670.31,2.28602907,904.75
Gujarat,2018,718.04,1642.23,2.287100997,633.41
Gujarat,2019,781.23,1687.47,2.160016896,1227.04
Haryana,2000,1054.3,2695.0,2.556198425,256.69
Haryana,2001,1027.5,2726.0,2.653041363,407.91
Haryana,2002,905.7,2468.0,2.724964116,196.13
Haryana,2003,1015.2,2790.0,2.74822695,625.9300000000001
Haryana,2004,1024.24,3010.0,2.938764352,279.37
Haryana,2005,1038.0,3167.0,3.05105973,462.62
Haryana,2006,1033.9,3360.0,3.249830738,305.67999999999995
Haryana,2007,1064.0,3584.0,3.368421053,396.84
Haryana,2008,1176.9,3209.0,2.726654771,586.67
Haryana,2009,1169.7,3525.0,3.013593229,350.1
Haryana,2010,1204.0,3357.0,2.78820598,638.3199999999999
Haryana,2011,1195.6,3651.0,3.053696889,497.53
Haryana,2012,1172.18,3845.0,3.280212937,409.67
Haryana,2013,1205.0,3937.0,3.267219917,625.36
Haryana,2014,1236.0,3876.0,3.13592233,243.4
Haryana,2015,1311.1,4043.0,3.083670201,449.4100000000001
Haryana,2016,1340.6,4335.0,3.233626734,478.4
Haryana,2017,1365.6,4734.0,3.466608084,420.4299999999999
Haryana,2018,1390.0,4363.0,3.138848921,566.51
Haryana,2019,1499.0,5033.4,3.357838559,382.87999999999994
Himachal Pradesh,2000,81.5,124.9,1.532515337,752.74
Himachal Pradesh,2001,80.59,136.44,1.693014022,747.84
Himachal Pradesh,2002,82.81,85.68,1.03465765,556.59
Himachal Pradesh,2003,81.35,120.63,1.482851875,876.3999999999999
Himachal Pradesh,2004,79.52,109.12,1.3722334,712.04
Himachal Pradesh,2005,79.37,112.14,1.412876402,741.92
Himachal Pradesh,2006,69.22,123.48,1.783877492,649.16
Himachal Pradesh,2007,78.56,121.46,1.54607943,674.25
Himachal Pradesh,2008,77.72,118.29,1.522002059,1294.88
