State,Year,Yield_t_ha
Andhra Pradesh,2000,2.9838315242601356
Andhra Pradesh,2001,3.1103535463967527
Andhra Pradesh,2002,2.8468130690948046
Andhra Pradesh,2003,3.093060920033515
Andhra Pradesh,2004,3.3185362415775983
Andhra Pradesh,2005,2.8915270240248816
Andhra Pradesh,2006,3.0601470529149424
Andhra Pradesh,2007,3.44521863276446
Andhra Pradesh,2008,3.294321018796393
Andhra Pradesh,2009,3.254482444297299
Andhra Pradesh,2010,2.8614692069629704
Andhra Pradesh,2011,3.3005783549488346
Andhra Pradesh,2012,3.1063850011768754
Andhra Pradesh,2013,3.094114823645991
Andhra Pradesh,2014,3.53202198848779
Andhra Pradesh,2015,3.4794172501723906
Andhra Pradesh,2016,3.8015144605328164
Andhra Pradesh,2017,3.8145416512636485
Andhra Pradesh,2018,3.728904587239053
Andhra Pradesh,2019,3.8794991511035652
Assam,2000,1.5110442639739698
Assam,2001,1.5195530726256983
Assam,2002,1.4711559276270993
Assam,2003,1.5340572205576593
Assam,2004,1.4524109172980275
Assam,2005,1.489955868080353
Assam,2006,1.3574720411367482
Assam,2007,1.4538281457330249
Assam,2008,1.662732653497825
Assam,2009,1.8005154571163429
Assam,2010,2.0371354194336715
Assam,2011,1.8858940712297882
Assam,2012,2.098277245951596
Assam,2013,2.115013718708386
Assam,2014,2.111420087242081
Assam,2015,2.0697170998335883
Assam,2016,2.0962612806188226
Assam,2017,2.1738318783286665
Assam,2018,2.2324402473444542
Assam,2019,2.17240112876157
Bihar,2000,1.488785557986871
Bihar,2001,1.4648085585585586
Bihar,2002,1.4184100418410042
Bihar,2003,1.5225893723047168
Bihar,2004,0.7872845218798068
Bihar,2005,1.1409179573326442
Bihar,2006,1.4946255098036885
Bihar,2007,1.262272924790772
Bihar,2008,1.6203929302890085
Bihar,2009,1.1283297649870543
Bihar,2010,1.0939235256905884
Bihar,2011,2.458398364642862
Bihar,2012,2.5226727778131433
Bihar,2013,2.1104513139520122
Bihar,2014,2.525461019421343
Bihar,2015,2.1044351769925194
Bihar,2016,2.466855700508116
Bihar,2017,2.447284547928636
Bihar,2018,1.9481191490439087
Bihar,2019,2.2446269625267563
Chhattisgarh,2000,0.6346168989684227
Chhattisgarh,2001,1.3333656213675962
Chhattisgarh,2002,0.7164858783413275
Chhattisgarh,2003,1.4398831818620537
Chhattisgarh,2004,1.1889735939409354
Chhattisgarh,2005,1.1889735939409354
Chhattisgarh,2006,1.4482829928163754
Chhattisgarh,2007,1.4610613800752996
Chhattisgarh,2008,1.2164588979786608
Chhattisgarh,2009,1.1446741573033707
Chhattisgarh,2010,1.6483257646309577
Chhattisgarh,2011,1.7436582824535263
Chhattisgarh,2012,2.067769637711287
Chhattisgarh,2013,1.8583662777308665
Chhattisgarh,2014,2.084018742236695
Chhattisgarh,2015,1.354462388652256
Chhattisgarh,2016,2.384692908222065
Chhattisgarh,2017,1.5721561799551713
Chhattisgarh,2018,1.7450554279245931
Chhattisgarh,2019,2.3294071006040626
Gujarat,2000,0.8955462062962426
Gujarat,2001,1.501432664756447
Gujarat,2002,1.3337044695403213
Gujarat,2003,1.8317470064476513
Gujarat,2004,1.7611127465410656
Gujarat,2005,1.907564274037747
Gujarat,2006,1.6555926302045554
Gujarat,2007,1.943316635908252
Gujarat,2008,1.7523928422804826
Gujarat,2009,1.9133045888512472
Gujarat,2010,2.0594727957408128
Gujarat,2011,2.141165987780041
Gujarat,2012,2.101161369193154
Gujarat,2013,2.1335822361957164
Gujarat,2014,2.2717315106905014
Gujarat,2015,2.2292907738359857
Gujarat,2016,2.403364480813889
Gujarat,2017,2.286029069608299
Gujarat,2018,2.2871009971589324
Gujarat,2019,2.160016896432549
Haryana,2000,2.5561984254955896
Haryana,2001,2.6530413625304137
Haryana,2002,2.724964116153252
Haryana,2003,2.74822695035461
Haryana,2004,2.9387643521049753
Haryana,2005,3.051059730250482
Haryana,2006,3.2498307379823963
Haryana,2007,3.3684210526315788
Haryana,2008,2.726654771008582
Haryana,2009,3.0135932290330856
Haryana,2010,2.7882059800664454
Haryana,2011,3.053696888591502
Haryana,2012,3.2802129365797064
Haryana,2013,3.267219917012448
Haryana,2014,3.1359223300970873
Haryana,2015,3.0836702005949204
Haryana,2016,3.2336267342980753
Haryana,2017,3.4666080843585236
Haryana,2018,3.1388489208633095
Haryana,2019,3.35783855903936
Himachal Pradesh,2000,1.532515337423313
Himachal Pradesh,2001,1.693014021590768
Himachal Pradesh,2002,1.0346576500422655
Himachal Pradesh,2003,1.4828518746158574
Himachal Pradesh,2004,1.3722334004024146
Himachal Pradesh,2005,1.4128764016630968
Himachal Pradesh,2006,1.7838774920543197
Himachal Pradesh,2007,1.5460794297352343
Himachal Pradesh,2008,1.5220020586721565
Himachal Pradesh,2009,1.3883711773198582
Himachal Pradesh,2010,1.4612937433722164
Himachal Pradesh,2011,1.4473754329869437
Himachal Pradesh,2012,1.475925189017111
